[2025-11-21 06:55:21] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:55:23] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:55:28] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:55:40] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:55:43] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:55:44] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:55:48] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:00] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:00] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:26] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:26] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:26] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:36] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:38] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:39] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:40] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:41] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:42] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:44] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:45] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:49] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:56:55] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:58:44] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:58:44] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:58:53] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:59:00] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:59:08] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:59:21] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:59:27] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 06:59:34] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:20] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:21] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:21] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:21] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:41] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:45] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:45] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:50] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:50] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:50] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:50] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:50] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:50] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:50] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:51] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:04:51] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:16] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:16] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:16] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:16] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:16] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:20] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:20] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:20] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:20] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:20] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:09:20] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:37] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:37] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:37] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:37] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:37] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:40] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:40] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:40] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:40] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:40] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:40] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:49] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:54] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:57] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:57] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:57] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:57] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:57] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:11:57] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
[2025-11-21 07:12:13] DB Connection SUCCESS - Host: 127.0.0.1, User: root, Database: jcrc_ch, Port: 3307, Source: .env file
